entry_date,exit_date,entry,exit,pnl,hold_days,type
2024-01-05,2024-01-10,181.52328157196968,185.84732984562046,6.366636135804404,5,Signal Exit
2024-01-29,2024-01-30,192.0714751562103,187.69098685494757,-7.135260913777306,1,Signal Exit
2024-02-29,2024-03-01,181.0746660386783,179.3332708926559,-3.1314379169697517,1,Signal Exit
2024-03-04,2024-03-06,175.44614717110522,168.51851803149896,-10.759461186130572,2,Stop Loss
2024-03-06,2024-04-01,169.47491037712646,169.6760924607215,0.046189859192159705,26,Signal Exit
2024-04-03,2024-04-05,169.9843979956024,169.25756150889387,-1.39139163369376,2,Signal Exit
2024-04-10,2024-04-18,168.0793759004957,166.69229012135173,-2.7063350767616763,8,Signal Exit
2024-04-19,2024-04-30,165.34507688731625,169.97141134881352,6.657695327790623,11,Signal Exit
2024-05-02,2024-05-03,173.39504231148223,182.93897549648077,13.304070853142317,1,Signal Exit
2024-05-24,2024-05-29,190.32861430884336,189.94132224390546,-0.8769961780458331,5,Signal Exit
2024-06-26,2024-06-27,213.75696430133794,213.6034249344719,-0.3782361483284798,1,Signal Exit
2024-07-19,2024-07-23,224.85569444214968,224.47478205243215,-0.5786294235203929,4,Signal Exit
2024-08-22,2024-08-23,225.05759654637023,226.32046842122764,1.0259812676759763,1,Signal Exit
2024-08-29,2024-08-30,230.29979799982604,228.50419664301867,-2.0806909463673313,1,Signal Exit
2024-11-01,2024-11-04,223.35432663282947,221.57305162665833,-2.370022128801889,3,Signal Exit
2024-12-31,2025-01-02,250.85637969803292,242.1619777694845,-10.824761077586528,2,Stop Loss
2025-01-03,2025-01-06,243.81240779065087,244.54850476582425,0.5660483382926427,3,Signal Exit
2025-01-08,2025-01-10,243.14644446212094,234.21818006649627,-10.70149358678959,2,Stop Loss
2025-01-21,2025-01-22,223.20891920767966,223.26908002144032,-0.14543312614450765,1,Signal Exit
2025-01-23,2025-01-28,224.21622176580544,237.64681499217397,12.052611105565248,5,Signal Exit
2025-01-29,2025-01-30,239.97291222155272,236.99376307998676,-2.695732491087772,1,Signal Exit
2025-02-12,2025-02-13,237.5100617002115,240.88514192123216,2.503688683177209,1,Signal Exit
2025-03-13,2025-03-14,210.40222202291204,212.78627226443885,1.5285400376479719,1,Signal Exit
2025-03-18,2025-03-19,213.36061086892772,214.5721585502814,0.7591593667461296,1,Signal Exit
2025-03-20,2025-03-25,214.75920477473872,223.12040447518186,6.313508323217414,5,Signal Exit
2025-03-26,2025-03-27,222.14850063018827,223.24222077196802,0.726870179810156,1,Signal Exit
2025-03-28,2025-03-31,218.50944178317255,221.4950389156255,2.343841671057773,3,Signal Exit
2025-04-03,2025-04-04,203.9197313693042,188.94055649189625,-10.679073253515941,1,Stop Loss
2025-04-04,2025-04-08,189.17079234292532,172.7682543345109,-10.717920917772046,4,Stop Loss
2025-04-08,2025-04-09,173.3833199793591,197.7464711620237,12.557838317516582,1,Signal Exit
2025-04-16,2025-04-21,195.3842786253156,192.11519458837583,-1.5648545822657172,5,Signal Exit
2025-04-25,2025-04-28,210.22685162779564,209.23034263133258,-0.6435277561816669,3,Signal Exit
2025-05-06,2025-05-07,199.32968308881317,195.4434594889592,-2.5204041976293663,1,Signal Exit
2025-05-08,2025-05-09,198.27881340310933,197.7742300542556,-0.44988110013390853,1,Signal Exit
2025-05-13,2025-05-14,213.70176220321835,211.58790273986867,-1.525954167629143,1,Signal Exit
2025-07-23,2025-07-24,214.54793812838142,213.3735668093601,-1.8120510197089763,1,Signal Exit
2025-08-21,2025-08-22,225.39854769157364,227.2652418578245,1.6902292845290279,1,Signal Exit
2025-09-11,2025-09-12,230.52156310424408,233.57228718891622,2.9559467371944548,1,Signal Exit
2025-10-13,2025-10-16,248.1731963309811,246.9497074645898,-1.4844368761855231,3,Signal Exit
2025-10-17,2025-10-20,252.8004517114523,261.6768549107943,8.741556682584523,3,Signal Exit
2025-11-10,2025-11-11,269.97809908369845,274.6922586365657,4.231726081116602,1,Signal Exit
2025-11-19,2025-11-20,269.1322976558964,265.6489648909533,-3.4285362564815256,1,Signal Exit
2025-12-08,2025-12-15,278.4419131179499,273.5815774550969,-4.869257342916272,7,Signal Exit
2025-12-16,2025-12-17,275.1291860059815,271.32392849444574,-4.1009157311643225,1,Signal Exit
