timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2024-01-01T00:00:00+00:00,932.60,999.68,-0.03,1,GOLD:long:0.1630@2065.1664,67.31,-0.22,
2024-01-02T00:00:00+00:00,932.60,998.88,-0.11,1,GOLD:long:0.1630@2065.1664,67.31,-1.02,
2024-01-03T00:00:00+00:00,932.60,995.93,-0.41,1,GOLD:long:0.1630@2065.1664,67.31,-3.97,
2024-01-04T00:00:00+00:00,995.98,995.98,-0.40,0,No positions,0.00,0.00,
2024-01-05T00:00:00+00:00,846.39,995.12,-0.49,1,GOLD:long:0.3648@2047.2996,149.39,-0.66,
2024-01-08T00:00:00+00:00,782.07,983.70,-1.63,1,GOLD:long:0.4990@2029.7373,202.57,-0.95,
2024-01-09T00:00:00+00:00,983.35,983.35,-1.67,0,No positions,0.00,0.00,
2024-01-10T00:00:00+00:00,722.95,981.76,-1.82,1,GOLD:long:0.6420@2025.3122,260.04,-1.23,
2024-01-11T00:00:00+00:00,722.95,984.77,-1.52,1,GOLD:long:0.6420@2025.3122,260.04,1.78,
2024-01-12T00:00:00+00:00,869.88,1002.68,0.27,1,GOLD:long:0.3254@2050.8195,133.48,-0.68,
2024-01-15T00:00:00+00:00,869.88,1004.56,0.46,1,GOLD:long:0.3254@2050.8195,133.48,1.19,
2024-01-16T00:00:00+00:00,994.92,994.92,-0.51,0,No positions,0.00,0.00,
2024-01-17T00:00:00+00:00,851.77,993.93,-0.61,1,GOLD:long:0.3560@2007.9508,142.96,-0.79,
2024-01-18T00:00:00+00:00,851.77,999.97,-0.00,1,GOLD:long:0.3560@2007.9508,142.96,5.24,
2024-01-19T00:00:00+00:00,851.77,1002.25,0.23,1,GOLD:long:0.3560@2007.9508,142.96,7.53,
2024-01-22T00:00:00+00:00,851.77,999.37,-0.06,1,GOLD:long:0.3560@2007.9508,142.96,4.64,
2024-01-23T00:00:00+00:00,851.77,1002.11,0.21,1,GOLD:long:0.3560@2007.9508,142.96,7.38,
2024-01-24T00:00:00+00:00,851.77,996.38,-0.36,1,GOLD:long:0.3560@2007.9508,142.96,1.65,
2024-01-25T00:00:00+00:00,851.77,998.93,-0.11,1,GOLD:long:0.3560@2007.9508,142.96,4.20,
2024-01-26T00:00:00+00:00,851.77,998.43,-0.16,1,GOLD:long:0.3560@2007.9508,142.96,3.70,
2024-01-29T00:00:00+00:00,851.77,1003.20,0.32,1,GOLD:long:0.3560@2007.9508,142.96,8.47,
2024-01-30T00:00:00+00:00,851.77,1004.76,0.48,1,GOLD:long:0.3560@2007.9508,142.96,10.03,
2024-01-31T00:00:00+00:00,1008.73,1008.73,0.87,0,No positions,0.00,0.00,
2024-02-01T00:00:00+00:00,936.01,1008.22,0.82,1,GOLD:long:0.1765@2057.1712,72.61,-0.40,
2024-02-02T00:00:00+00:00,1004.83,1004.83,0.48,0,No positions,0.00,0.00,
2024-02-05T00:00:00+00:00,1004.83,1004.83,0.48,0,No positions,0.00,0.00,
2024-02-06T00:00:00+00:00,1004.83,1004.83,0.48,0,No positions,0.00,0.00,
2024-02-07T00:00:00+00:00,1004.83,1004.83,0.48,0,No positions,0.00,0.00,
2024-02-08T00:00:00+00:00,1004.83,1004.83,0.48,0,No positions,0.00,0.00,
2024-02-09T00:00:00+00:00,1004.83,1004.83,0.48,0,No positions,0.00,0.00,
2024-02-12T00:00:00+00:00,1004.83,1004.83,0.48,0,No positions,0.00,0.00,
2024-02-13T00:00:00+00:00,840.96,1003.64,0.36,1,GOLD:long:0.4102@1994.4981,163.64,-0.97,
2024-02-14T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-15T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-16T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-19T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-20T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-21T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-22T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-23T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-26T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-27T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-28T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-02-29T00:00:00+00:00,1002.58,1002.58,0.26,0,No positions,0.00,0.00,
2024-03-01T00:00:00+00:00,904.12,1001.90,0.19,1,GOLD:long:0.2357@2085.6645,98.32,-0.54,
2024-03-04T00:00:00+00:00,904.12,1009.35,0.94,1,GOLD:long:0.2357@2085.6645,98.32,6.91,
2024-03-05T00:00:00+00:00,902.89,1009.83,0.98,1,GOLD:long:0.2525@2130.0389,107.57,-0.63,
2024-03-06T00:00:00+00:00,902.89,1015.07,1.51,1,GOLD:long:0.2525@2130.0389,107.57,4.61,
2024-03-07T00:00:00+00:00,911.59,1016.48,1.65,1,GOLD:long:0.2440@2161.6731,105.51,-0.61,
2024-03-08T00:00:00+00:00,911.59,1020.96,2.10,1,GOLD:long:0.2440@2161.6731,105.51,3.86,
2024-03-11T00:00:00+00:00,911.59,1022.17,2.22,1,GOLD:long:0.2440@2161.6731,105.51,5.08,
2024-03-12T00:00:00+00:00,911.59,1016.20,1.62,1,GOLD:long:0.2440@2161.6731,105.51,-0.90,
2024-03-13T00:00:00+00:00,911.59,1020.20,2.02,1,GOLD:long:0.2440@2161.6731,105.51,3.11,
2024-03-14T00:00:00+00:00,911.59,1016.93,1.69,1,GOLD:long:0.2440@2161.6731,105.51,-0.16,
2024-03-15T00:00:00+00:00,911.59,1015.60,1.56,1,GOLD:long:0.2440@2161.6731,105.51,-1.50,
2024-03-18T00:00:00+00:00,911.59,1016.69,1.67,1,GOLD:long:0.2440@2161.6731,105.51,-0.41,
2024-03-19T00:00:00+00:00,911.59,1016.01,1.60,1,GOLD:long:0.2440@2161.6731,105.51,-1.08,
2024-03-20T00:00:00+00:00,911.59,1023.02,2.30,1,GOLD:long:0.2440@2161.6731,105.51,5.93,
2024-03-21T00:00:00+00:00,922.93,1024.77,2.48,1,GOLD:long:0.2347@2183.7063,102.52,-0.68,
2024-03-22T00:00:00+00:00,1020.05,1020.05,2.01,0,No positions,0.00,0.00,
2024-03-25T00:00:00+00:00,890.53,1019.03,1.90,1,GOLD:long:0.2974@2174.2929,129.34,-0.85,
2024-03-26T00:00:00+00:00,890.53,1021.15,2.11,1,GOLD:long:0.2974@2174.2929,129.34,1.28,
2024-03-27T00:00:00+00:00,890.53,1025.74,2.57,1,GOLD:long:0.2974@2174.2929,129.34,5.87,
2024-03-28T00:00:00+00:00,940.28,1031.65,3.17,1,GOLD:long:0.2058@2235.3843,91.99,-0.62,
2024-04-01T00:00:00+00:00,940.28,1035.35,3.53,1,GOLD:long:0.2058@2235.3843,91.99,3.08,
2024-04-02T00:00:00+00:00,940.28,1041.47,4.15,1,GOLD:long:0.2058@2235.3843,91.99,9.20,
2024-04-03T00:00:00+00:00,952.74,1044.02,4.40,1,GOLD:long:0.1996@2302.3559,91.91,-0.64,
2024-04-04T00:00:00+00:00,1041.32,1041.32,4.13,0,No positions,0.00,0.00,
