timestamp,coin,action,side,quantity,price,profit_target,stop_loss,leverage,confidence,pnl,balance_after,reason,confluence_tags,trigger_tags,reasoning_categories
2024-01-01T00:00:00+00:00,GOLD,ENTRY,long,0.1951665824848131,2065.03828,2123.8,2013.8,3.0,0.75,0,865.547013119814,Active-Guardian: Market is in Active mode. 1% risk enforced. EMA20/50 alignment and neutral MACD crossover detected. Decisive entry with tight protection. | TYPE A Phase 1 | Fees: $0.11,EMA_alignment;neutral_MACD,indicator_alignment,trend_following
2024-01-04T00:00:00+00:00,GOLD,CLOSE,long,0.1951665824848131,2042.034044,0,0,3.0,0,-4.7100880219047365,995.2899119780953,"Active-Guardian: Current RSI14=10.54 indicates oversold conditions, but MACD crossover is bearish and Trend Strength Score is 0.00. Given the current market state and existing position, closing the position to limit further losses is prudent. | TYPE A Phase 1 | Closed 0.1952, Remaining 0.0000 | Gross: $-4.49 | Fees: $0.22",RSI_oversold;MACD_bearish,indicator_crossover,mean_reversion;trend_following
2024-01-05T00:00:00+00:00,GOLD,ENTRY,long,0.3722785316885729,2046.7273,2075.0,2020.0,5.0,0.8,0,842.6898482015589,Active-Guardian: Market is in Green Zone. RSI14=18.86 indicates oversold conditions. EMA20 and EMA50 alignment suggests potential for mean reversion. Entry justified with tight stop loss. | TYPE A Phase 1 | Fees: $0.21,RSI_oversold;EMA_alignment,support_bounce,mean_reversion
2024-01-08T00:00:00+00:00,GOLD,CLOSE,long,0.3722785316885729,2018.788,0,0,5.0,0,-10.817415198677939,984.4724967794174,"Stop loss hit | TYPE A Phase 1 | Closed 0.3723, Remaining 0.0000 | Gross: $-10.40 | Fees: $0.42",,,
2024-01-10T00:00:00+00:00,GOLD,ENTRY,long,0.6740093772837554,2024.6140400000002,2060.0,2010.0,5.0,0.8,0,711.175459678054,"Active-Guardian: Market is in Green Zone. RSI14=12.43 indicates oversold conditions. EMA20 and EMA50 alignment with price rejection at EMA200 suggests a potential bounce. MACD crossover is bearish, but Trend Strength Score is -0.49, indicating a possible reversal. | TYPE A Phase 1 | Fees: $0.38",RSI_oversold;EMA_rejection;Volatility_stable,support_bounce;mean_reversion,mean_reversion;trend_following
2024-01-12T00:00:00+00:00,GOLD,CLOSE,long,0.6740093772837554,2058.7639999999997,0,0,5.0,0,22.26052862412732,1006.7330254035446,"Take profit hit | TYPE A Phase 1 | Closed 0.6740, Remaining 0.0000 | Gross: $23.02 | Fees: $0.76",,,
2024-01-12T00:00:00+00:00,GOLD,ENTRY,long,0.3338983784292089,2049.9492319999995,2075.0,2020.0,5.0,0.82,0,869.6498499689268,"Active-Guardian: Market is in Green Zone. EMA20/50 alignment and RSI14=48.02 suggest a potential long entry. Trend Strength Score is -0.04, indicating a weak trend. Given the current market state and volatility, a long entry with tight protection is justified. | TYPE A Phase 1 | Fees: $0.19",EMA_alignment;RSI_mean_reversion;Volatility_stable,indicator_crossover;support_bounce,trend_following;mean_reversion
2024-01-16T00:00:00+00:00,GOLD,CLOSE,long,0.3338983784292089,2026.3734459999998,0,0,5.0,0,-8.24621303693199,998.4868123666126,"Active-Guardian: Current RSI14=36.14 indicates potential oversold conditions, but MACD crossover is bearish and Trend Strength Score is 0.01. Given the current market state and existing position, closing the position to limit further losses is prudent. | TYPE A Phase 1 | Closed 0.3339, Remaining 0.0000 | Gross: $-7.87 | Fees: $0.37",RSI_oversold;MACD_crossover,indicator_crossover,mean_reversion;trend_following
2024-01-17T00:00:00+00:00,GOLD,ENTRY,long,0.3708665373716093,2006.923432,2060.0,1980.0,5.0,0.8,0,849.4219808628566,Active-Guardian: Market is in Green Zone. RSI14=28.31 indicates oversold conditions. EMA20 and EMA50 alignment suggests potential for mean reversion. MACD is bearish but ATR14=20.302 indicates manageable volatility. | TYPE A Phase 1 | Fees: $0.20,RSI_oversold;EMA_alignment,support_bounce,mean_reversion
2024-02-01T00:00:00+00:00,GOLD,CLOSE,long,0.3708665373716093,2058.7639999999997,0,0,5.0,0,18.81127940905351,1017.2980917756662,"Take profit hit | TYPE A Phase 1 | Closed 0.3709, Remaining 0.0000 | Gross: $19.23 | Fees: $0.41",,,
2024-02-01T00:00:00+00:00,GOLD,ENTRY,long,0.18120934304681938,2056.122934,2100.0,2000.0,5.0,0.82,0,942.6778926682628,Active-Guardian: Market is in ACTIVE (Green Zone) mode. 1% risk enforced. Bullish MACD crossover and Trend Strength Score of 0.77 detected. Decisive entry with tight protection. | TYPE A Phase 1 | Fees: $0.10,MACD_crossover;Trend_Strength;RSI_bullish,indicator_crossover;trend_following,trend_following;mean_reversion
2024-02-02T00:00:00+00:00,GOLD,CLOSE,long,0.18120934304681938,2037.366846,0,0,5.0,0,-3.602767497904083,1013.6953242777622,"Active-Guardian: Current RSI14=50.49 indicates neutral conditions, but MACD crossover is bullish and Trend Strength Score is 0.69. Given the current market state and existing position, closing the position to limit further losses is prudent as the price is below the entry price. | TYPE A Phase 1 | Closed 0.1812, Remaining 0.0000 | Gross: $-3.40 | Fees: $0.20",MACD_crossover;Trend_Strength,indicator_crossover,trend_following
2024-02-13T00:00:00+00:00,GOLD,ENTRY,long,0.4342927874214357,1993.3252780000003,2020.0,1970.0,5.0,0.8,0,840.319902166131,"Active-Guardian: Market is in Green Zone. RSI14=33.93 indicates oversold conditions, and EMA20/50 alignment suggests a potential reversal. Given the current market state, a long entry with tight protection is prudent. | TYPE A Phase 1 | Fees: $0.24",RSI_oversold;EMA_alignment,support_bounce,mean_reversion
