entry_date,exit_date,entry,exit,pnl,hold_days,type
2024-01-01,2024-01-12,2065.03828,2047.490768,-3.4835910883148578,11,Signal Exit
2024-01-15,2024-01-17,2055.722694,2001.6556672047304,-10.574042461451867,2,Stop Loss
2024-01-17,2024-01-23,2006.923432,2027.472786,3.3895313124638986,6,Signal Exit
2024-01-24,2024-01-25,2013.7975539999998,2018.53815,0.5446131867852646,1,Signal Exit
2024-01-26,2024-01-29,2019.551004,2030.5309499999998,1.9172451654242844,3,Signal Exit
2024-02-01,2024-02-06,2056.122934,2034.238724,-4.9940638660122865,5,Signal Exit
2024-02-12,2024-02-13,2021.0018739999998,1990.934722,-7.168342386602967,1,Signal Exit
2024-03-12,2024-03-13,2159.2847939999997,2173.0953600000003,2.3090797455310113,1,Signal Exit
2024-05-07,2024-05-09,2315.178274,2344.4724720000004,3.3894216392139636,2,Signal Exit
2024-05-10,2024-05-14,2361.556084,2356.555218,-0.9678296971064816,4,Signal Exit
2024-05-16,2024-05-17,2377.865864,2413.441066,4.572141788122998,1,Signal Exit
2024-05-21,2024-05-22,2423.0929839999994,2376.82305,-6.609371335908528,1,Signal Exit
2024-05-28,2024-06-07,2362.36657,2289.0919593260833,-10.327006435610016,10,Stop Loss
2024-06-11,2024-06-18,2317.6597620000002,2326.9330019999998,0.9154392744905384,7,Signal Exit
2024-07-08,2024-07-10,2360.2152800000003,2369.647358,1.1215561782746712,2,Signal Exit
2024-07-19,2024-07-22,2402.230474,2396.2114100000003,-1.1987637757407454,3,Signal Exit
2024-07-25,2024-07-26,2365.9186999999997,2384.138658,2.246810977717819,1,Signal Exit
2024-07-29,2024-07-30,2384.970124,2406.9849419999996,2.78979911440735,1,Signal Exit
2024-08-01,2024-08-05,2446.887252,2375.8106027958656,-10.317714937667134,4,Stop Loss
2024-08-13,2024-08-15,2466.509018,2454.62634,-1.8129862538256503,2,Signal Exit
2024-08-26,2024-08-27,2518.400134,2523.0552580000003,0.281313432867245,1,Signal Exit
2024-08-28,2024-08-30,2503.7513499999995,2501.5281820000005,-0.6403469522928751,2,Signal Exit
2024-09-03,2024-09-04,2494.2556560000003,2492.6934859999997,-0.5836072537669872,1,Signal Exit
2024-09-06,2024-09-09,2498.5282180000004,2503.74685,0.38860170863794496,3,Signal Exit
2024-09-18,2024-09-19,2560.3352800000002,2584.928112,3.2655957050831725,1,Signal Exit
2024-09-30,2024-10-01,2636.070694,2661.2223080000003,3.285433254854049,1,Signal Exit
2024-10-08,2024-10-09,2623.513164,2606.205338,-2.9226579263216634,1,Signal Exit
2024-10-21,2024-10-22,2721.28179,2746.7309720000003,3.6344280990400466,1,Signal Exit
2024-10-23,2024-10-24,2719.1705239999997,2734.05858,1.8667812622680362,1,Signal Exit
2024-10-31,2024-11-01,2745.44628,2733.5189039999996,-2.2088289039552826,1,Signal Exit
2024-11-06,2024-11-07,2660.8355439999996,2705.365806,5.733061101525031,1,Signal Exit
2024-11-08,2024-11-11,2685.3802619999997,2609.467731318618,-10.330634040162387,3,Stop Loss
2024-11-11,2024-11-14,2621.77212,2540.370066384117,-10.279534464390816,3,Stop Loss
2024-11-14,2024-11-19,2567.7297139999996,2630.1009919999997,7.089002209934209,5,Signal Exit
2024-12-05,2024-12-09,2633.6292300000005,2657.184732,2.6890382194433617,4,Signal Exit
2024-12-13,2025-01-02,2649.979034,2655.565704,0.354414833824817,20,Signal Exit
2025-01-13,2025-01-14,2663.717272,2675.553704,1.3466024076128087,1,Signal Exit
2025-01-23,2025-01-24,2755.342214,2769.63722,1.8417428503951454,1,Signal Exit
2025-01-27,2025-02-03,2742.74466,2811.801906,10.220371792961446,7,Signal Exit
2025-02-06,2025-02-10,2858.2138999999997,2905.595596,6.296720462158053,4,Signal Exit
2025-02-11,2025-02-12,2900.079004,2901.9178039999997,-0.13787335283926008,1,Signal Exit
2025-02-14,2025-02-17,2884.9099079999996,2895.921404,1.0094502867592665,3,Signal Exit
2025-04-07,2025-04-08,2984.3295239999998,2981.9897320000005,-0.5008897481947348,1,Signal Exit
2025-04-23,2025-04-24,3290.2329560000003,3347.0905399999997,3.5121532997311613,1,Signal Exit
2025-04-29,2025-04-30,3319.1703079999997,3286.616846,-2.3270774769472906,1,Signal Exit
2025-05-01,2025-05-02,3242.9446,3238.935472,-0.47052941553637995,1,Signal Exit
2025-05-07,2025-05-09,3367.229126,3322.635222,-3.0153527953446186,2,Signal Exit
2025-05-12,2025-05-13,3236.6408199999996,3246.5209179999997,0.3896809555897053,1,Signal Exit
2025-05-14,2025-05-15,3180.65725,3238.925478,3.309012041823595,1,Signal Exit
2025-05-22,2025-05-23,3296.977,3355.4055479999997,3.4328768240297913,1,Signal Exit
2025-06-16,2025-06-17,3385.2299199999998,3386.7067559999996,-0.14471223122041357,1,Signal Exit
2025-06-24,2025-06-25,3326.19452,3330.460524,0.07876482415200559,1,Signal Exit
2025-06-27,2025-06-30,3276.21455,3301.7077860000004,1.9406536203168216,3,Signal Exit
2025-07-03,2025-07-04,3328.565942,3334.6380159999994,0.2466424818899323,1,Signal Exit
2025-07-08,2025-07-09,3302.6804199999997,3311.7317679999996,0.5405237533545965,1,Signal Exit
2025-07-23,2025-07-24,3389.812668,3366.12911,-2.773806711122518,1,Signal Exit
2025-07-30,2025-07-31,3277.21515,3288.345808,0.816179262184004,1,Signal Exit
2025-08-19,2025-08-20,3317.449276,3345.1017340000003,2.959887909641558,1,Signal Exit
2025-11-04,2025-11-05,3934.40923,3980.230428,2.047143642561882,1,Signal Exit
2025-11-17,2025-11-18,4047.036766,4065.4392720000005,0.7173133990500179,1,Signal Exit
