timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2024-01-02T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2024-01-03T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2024-01-04T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2024-01-05T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2024-01-08T00:00:00+00:00,929.16,999.03,-0.10,1,AAPL:long:1.7186@205.8188,70.74,-0.88,
2024-01-09T00:00:00+00:00,834.83,987.57,-1.24,1,AAPL:long:2.3178@199.2670,153.95,-1.22,
2024-01-10T00:00:00+00:00,984.97,984.97,-1.50,0,No positions,0.00,0.00,
2024-01-11T00:00:00+00:00,984.97,984.97,-1.50,0,No positions,0.00,0.00,
2024-01-12T00:00:00+00:00,984.97,984.97,-1.50,0,No positions,0.00,0.00,
2024-01-16T00:00:00+00:00,984.97,984.97,-1.50,0,No positions,0.00,0.00,
2024-01-17T00:00:00+00:00,984.97,984.97,-1.50,0,No positions,0.00,0.00,
2024-01-18T00:00:00+00:00,937.06,984.27,-1.57,1,AAPL:long:1.1189@213.8030,47.85,-0.64,
2024-01-19T00:00:00+00:00,937.06,985.24,-1.48,1,AAPL:long:1.1189@213.8030,47.85,0.33,
2024-01-22T00:00:00+00:00,980.86,980.86,-1.91,0,No positions,0.00,0.00,
2024-01-23T00:00:00+00:00,907.02,979.80,-2.02,1,AAPL:long:1.6930@217.7946,73.74,-0.96,
2024-01-24T00:00:00+00:00,907.02,984.79,-1.52,1,AAPL:long:1.6930@217.7946,73.74,4.03,
2024-01-25T00:00:00+00:00,907.02,986.79,-1.32,1,AAPL:long:1.6930@217.7946,73.74,6.03,
2024-01-26T00:00:00+00:00,931.33,991.13,-0.89,1,AAPL:long:1.3351@226.6603,60.52,-0.73,
2024-01-29T00:00:00+00:00,931.33,993.55,-0.65,1,AAPL:long:1.3351@226.6603,60.52,1.69,
2024-01-30T00:00:00+00:00,931.33,994.22,-0.58,1,AAPL:long:1.3351@226.6603,60.52,2.36,
2024-01-31T00:00:00+00:00,939.69,999.92,-0.01,1,AAPL:long:1.2815@237.8036,60.95,-0.72,
2024-02-01T00:00:00+00:00,939.69,1002.84,0.28,1,AAPL:long:1.2815@237.8036,60.95,2.20,
2024-02-02T00:00:00+00:00,939.69,1007.33,0.73,1,AAPL:long:1.2815@237.8036,60.95,6.69,
2024-02-05T00:00:00+00:00,939.69,1007.68,0.77,1,AAPL:long:1.2815@237.8036,60.95,7.04,
2024-02-06T00:00:00+00:00,939.69,1006.87,0.69,1,AAPL:long:1.2815@237.8036,60.95,6.23,
2024-02-07T00:00:00+00:00,939.69,1007.58,0.76,1,AAPL:long:1.2815@237.8036,60.95,6.95,
2024-02-08T00:00:00+00:00,953.32,1008.52,0.85,1,AAPL:long:1.1289@246.9376,55.76,-0.55,
2024-02-09T00:00:00+00:00,953.32,1010.06,1.01,1,AAPL:long:1.1289@246.9376,55.76,0.98,
2024-02-12T00:00:00+00:00,1007.72,1007.72,0.77,0,No positions,0.00,0.00,
2024-02-13T00:00:00+00:00,956.46,1007.17,0.72,1,AAPL:long:1.0307@248.3297,51.19,-0.48,
2024-02-14T00:00:00+00:00,972.85,1015.71,1.57,1,AAPL:long:0.7949@272.7816,43.37,-0.51,
2024-02-15T00:00:00+00:00,1011.78,1011.78,1.18,0,No positions,0.00,0.00,
2024-02-16T00:00:00+00:00,957.67,1011.06,1.11,1,AAPL:long:1.0079@268.0407,54.03,-0.64,
2024-02-20T00:00:00+00:00,957.67,1012.29,1.23,1,AAPL:long:1.0079@268.0407,54.03,0.58,
2024-02-21T00:00:00+00:00,1008.87,1008.87,0.89,0,No positions,0.00,0.00,
2024-02-22T00:00:00+00:00,962.23,1008.23,0.82,1,AAPL:long:0.8569@271.7746,46.58,-0.57,
2024-02-23T00:00:00+00:00,962.23,1012.25,1.23,1,AAPL:long:0.8569@271.7746,46.58,3.45,
2024-02-26T00:00:00+00:00,962.23,1013.38,1.34,1,AAPL:long:0.8569@271.7746,46.58,4.58,
2024-02-27T00:00:00+00:00,962.23,1013.73,1.37,1,AAPL:long:0.8569@271.7746,46.58,4.92,
2024-02-28T00:00:00+00:00,962.23,1015.10,1.51,1,AAPL:long:0.8569@271.7746,46.58,6.30,
2024-02-29T00:00:00+00:00,948.73,996.01,-0.40,1,AAPL:short:1.2389@196.9446,48.80,-1.52,
2024-03-01T00:00:00+00:00,969.01,985.39,-1.46,1,AAPL:long:0.4148@203.7689,16.90,-0.52,
2024-03-04T00:00:00+00:00,984.76,984.76,-1.52,0,No positions,0.00,0.00,
2024-03-05T00:00:00+00:00,947.91,983.61,-1.64,1,AAPL:long:0.9415@195.4624,36.80,-1.10,
2024-03-06T00:00:00+00:00,947.91,986.32,-1.37,1,AAPL:long:0.9415@195.4624,36.80,1.60,
2024-03-07T00:00:00+00:00,981.56,981.56,-1.84,0,No positions,0.00,0.00,
2024-03-08T00:00:00+00:00,981.56,981.56,-1.84,0,No positions,0.00,0.00,
2024-03-11T00:00:00+00:00,981.56,981.56,-1.84,0,No positions,0.00,0.00,
2024-03-12T00:00:00+00:00,981.56,981.56,-1.84,0,No positions,0.00,0.00,
2024-03-13T00:00:00+00:00,981.56,981.56,-1.84,0,No positions,0.00,0.00,
2024-03-14T00:00:00+00:00,981.56,981.56,-1.84,0,No positions,0.00,0.00,
2024-03-15T00:00:00+00:00,981.56,981.56,-1.84,0,No positions,0.00,0.00,
2024-03-18T00:00:00+00:00,949.89,980.77,-1.92,1,AAPL:long:0.6450@245.2088,31.63,-0.75,
2024-03-19T00:00:00+00:00,979.36,979.36,-2.06,0,No positions,0.00,0.00,
2024-03-20T00:00:00+00:00,979.36,979.36,-2.06,0,No positions,0.00,0.00,
2024-03-21T00:00:00+00:00,979.36,979.36,-2.06,0,No positions,0.00,0.00,
2024-03-22T00:00:00+00:00,979.36,979.36,-2.06,0,No positions,0.00,0.00,
