entry_date,exit_date,entry,exit,pnl,hold_days,type
2024-01-02,2024-01-03,6.655126990751548,6.776015041964588,0.22781976698446074,1,Signal Exit
2024-01-05,2024-01-16,39.69370170722459,38.22893907700799,-1.7528910092245775,11,Signal Exit
2024-01-17,2024-01-19,38.561331459424274,184.173129823725,255.9643584503332,2,Signal Exit
2024-01-25,2024-01-31,182.30490499496224,182.51093765882118,0.01425280716958139,6,Signal Exit
2024-02-09,2024-02-12,19.622021176435766,19.347546733723078,-0.13733775069918072,3,Signal Exit
2024-02-13,2024-02-15,18.821529821030598,18.7277725744086,-0.060665946114609536,2,Signal Exit
2024-02-16,2024-02-21,15.440337604944995,14.871184826673066,-0.381086029453903,5,Signal Exit
2024-02-28,2024-02-29,14.060598893633518,14.157171472512399,0.08798051480405751,1,Signal Exit
2024-03-04,2024-03-05,9.281487847648751,9.181255349685296,-0.13300954790493502,1,Signal Exit
2024-03-11,2024-03-13,8.94132734755557,8.99336721077888,0.07398566063725462,2,Signal Exit
2024-03-18,2024-04-01,36.15023602697196,38.216231151271664,2.808078537932517,14,Signal Exit
2024-04-02,2024-04-15,24.438747296707092,23.32732046442878,-2.0559326366271153,13,Signal Exit
2024-04-16,2024-04-19,27.858606259611484,28.02647961166531,0.40157343600737044,3,Signal Exit
2024-04-22,2024-04-23,27.907686548586007,27.93533890324992,-0.000955026635602374,1,Signal Exit
2024-04-24,2024-04-25,27.594685440255763,27.97868933853485,1.4000761256808425,1,Signal Exit
2024-04-26,2024-04-29,27.76137624786421,27.926808717734282,0.6036965234621395,3,Signal Exit
2024-05-16,2024-05-17,23.832487337148322,23.53919173244105,-0.3566358229167486,1,Signal Exit
2024-05-22,2024-05-28,23.803503115553685,22.690562507409073,-1.6699685946772662,6,Signal Exit
2024-05-29,2024-05-30,21.690837808968183,21.660169213365286,-0.09762174484772913,1,Signal Exit
2024-06-03,2024-06-04,21.580036510886398,21.519497645532287,-0.18682551855271842,1,Signal Exit
2024-06-06,2024-06-10,20.591714560986745,20.907335774309555,0.785950997608769,4,Signal Exit
2024-06-12,2024-06-13,25.81503937818961,25.86866246653061,0.07699292138201441,1,Signal Exit
2024-06-17,2024-06-18,28.22377991401337,28.287970164115094,0.1073647258122154,1,Signal Exit
2024-06-20,2024-06-24,28.22116275280132,28.065526705280313,-0.6122426673418094,4,Signal Exit
2024-06-25,2024-06-27,27.568923612428993,24.122063887631978,-12.698641172660983,2,Stop Loss
2024-06-27,2024-07-01,23.166109114776532,22.646161171120845,-1.8809893830372726,4,Signal Exit
2024-07-02,2024-07-05,23.463587631016253,23.662089370528452,0.6802849043631358,3,Signal Exit
2024-07-08,2024-07-09,23.54807340387516,23.820794337122592,1.143251857689682,1,Signal Exit
2024-07-12,2024-07-17,0.38002761338492114,0.4002703712731279,0.044088673835965334,5,Signal Exit
2024-07-18,2024-07-22,0.4208610750575038,0.42018361738809207,-0.0032726392346003057,4,Signal Exit
2024-07-25,2024-07-26,0.4107071890293852,90.5334145676307,387.04386471319214,1,Signal Exit
2024-08-02,2024-08-07,93.12020068295737,95.92963119313885,3.7243074941831273,5,Signal Exit
2024-08-12,2024-08-16,27.262036059593058,27.707856022139865,0.3834040426276944,4,Signal Exit
2024-08-19,2024-08-23,27.165446559287645,14.519793104490763,-16.373979475672613,4,Stop Loss
2024-08-23,2024-08-26,12.283636358448089,11.99187944451174,-0.4226567095920515,3,Signal Exit
2024-09-16,2024-09-24,48.67030094999439,133.90906346222053,174.24578839935302,8,Signal Exit
2024-09-26,2024-10-02,136.81677021095174,135.06426383114533,-2.1656709012817403,6,Signal Exit
2024-10-08,2024-10-09,15.089423838235954,14.967261910387915,-0.0944417823652661,1,Signal Exit
2024-10-17,2024-10-18,14.21411138136825,14.28657496908279,0.06594978473859048,1,Signal Exit
2024-10-21,2024-10-25,3.261571194931015,3.168382603302647,-0.11311030695329757,4,Signal Exit
2024-10-31,2024-11-01,3.4128468677014734,3.5563802917894027,0.2923378870547831,1,Signal Exit
2024-11-05,2024-11-12,26.317493033439554,24.600563881636095,-3.095526841051687,7,Signal Exit
2024-11-13,2024-11-15,24.996628678554043,24.88720067321534,-0.34330170864527043,2,Signal Exit
2024-11-20,2024-11-21,78.25504262579673,79.77147197012938,2.144768543464456,1,Signal Exit
2024-12-03,2024-12-05,35.78535519298063,35.4341507860549,-0.49670806274717144,2,Signal Exit
2024-12-06,2024-12-09,35.287092375638586,35.431030321688276,0.17089230663094487,3,Signal Exit
2024-12-11,2024-12-12,35.186398366693474,35.64626346070239,0.8241097184256805,1,Signal Exit
2025-01-02,2025-01-06,24.66697624370864,24.168732199191474,-0.3582324653954466,4,Signal Exit
2025-01-14,2025-01-15,26.18011018626043,26.395435229250136,0.21068203772923608,1,Signal Exit
2025-01-23,2025-01-30,226.04498591540445,233.65891672680272,3.776956336929466,7,Signal Exit
2025-02-03,2025-02-04,26.211585746701505,26.48834865265761,0.08476477976904986,1,Signal Exit
2025-02-11,2025-02-18,26.54184453283488,2.789499324482489,-12.446783598003188,7,Signal Exit
2025-02-20,2025-03-03,3.158084243927196,3.2670526560205055,0.07493859080566774,11,Signal Exit
2025-03-13,2025-03-14,275.75587453945525,273.0804152074873,-1.4595993755411316,1,Signal Exit
2025-03-18,2025-03-19,38.813278254220215,38.757015409220244,-0.026679971307155645,1,Signal Exit
2025-03-27,2025-04-01,35.5419778604438,2.938323182824335,-15.075039700084004,5,Signal Exit
2025-04-04,2025-04-10,2.898200077710262,2.848427184159829,-0.032377417416541154,6,Signal Exit
2025-04-11,2025-04-14,2.8814162971804347,2.932817256088896,0.04312072442362015,3,Signal Exit
2025-04-15,2025-04-30,144.71177248094077,107.00377661714572,-17.717593658836538,15,Stop Loss
2025-04-30,2025-05-14,53.624707484845494,19.048043041381668,-17.673398218041978,14,Stop Loss
2025-05-14,2025-05-16,14.390818051341842,14.398144240627285,-0.005219933539009751,2,Signal Exit
2025-05-30,2025-06-04,202.7407740732057,196.4532948080739,-3.0054624495919082,5,Signal Exit
2025-06-05,2025-06-10,193.16572651688276,208.48008016650866,8.413702566456415,5,Signal Exit
2025-06-23,2025-06-25,0.40999672276268834,0.4095875403578569,-0.00040776742166944075,2,Signal Exit
2025-06-26,2025-06-27,0.40014409133699563,252.0296306753505,156.38473434096466,1,Signal Exit
2025-07-14,2025-07-15,1.9324547294770076,1.907558612319732,-0.006974873807708073,1,Signal Exit
2025-07-29,2025-08-01,21.441870744670886,20.9873950577839,-0.2582522746130215,3,Signal Exit
2025-08-04,2025-08-05,20.93575267461991,21.175025490431086,0.15829492134896347,1,Signal Exit
2025-08-06,2025-08-19,21.20576331763513,14.44641257895288,-5.6880845105910165,13,Signal Exit
2025-08-22,2025-08-25,14.195650697021915,51.29572255112606,68.52265915320365,3,Signal Exit
2025-09-02,2025-09-09,53.34819608247917,42.49724847506443,-19.653932865536305,7,Stop Loss
2025-09-19,2025-09-23,4.682067720039521,237.31454839741568,511.2229962854182,4,Signal Exit
2025-09-30,2025-10-03,242.79316959651513,246.57064149319464,2.8513148018447843,3,Signal Exit
2025-10-07,2025-10-14,143.55456238517277,142.178174930681,-0.9862995819887876,7,Signal Exit
2025-10-15,2025-10-16,142.69221485096418,141.43814524098033,-1.30873675217395,1,Signal Exit
2025-10-17,2025-10-20,142.5679680370554,139.17886430880222,-3.6810601662075566,3,Signal Exit
2025-11-04,2025-11-06,43.58199170636246,44.26519078070675,0.7856695687308338,2,Signal Exit
2025-11-07,2025-11-10,44.03372161179631,44.76461179326567,1.03962199276289,3,Signal Exit
2025-11-11,2025-11-18,44.86089671492571,149.84148137203897,181.46897054645433,7,Signal Exit
2025-11-19,2025-11-25,149.82073026944025,152.8148367148459,3.140144355949674,6,Signal Exit
2025-12-03,2025-12-05,6.651922091760119,6.608572422316621,-0.037110088150148296,2,Signal Exit
2025-12-09,2025-12-11,6.630787370172207,6.639013584588428,0.0015839938947214186,2,Signal Exit
2025-12-12,2025-12-16,6.472468143561907,6.1686657852118145,-0.383529021736417,4,Signal Exit
2025-12-17,2025-12-18,1.5504800513769617,1.5677515953865313,0.023235538801734668,1,Signal Exit
2025-12-19,2025-12-23,1.5601149912774823,1.5692491133391866,0.012977047952108401,4,Signal Exit
2025-12-26,2025-12-31,1.521217459720728,1.5417483343024296,0.04372520002314576,5,Force Close
