timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl,btc_price
2024-01-01T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2024-01-02T00:00:00+00:00,1000.00,1000.00,0.00,0,No positions,0.00,0.00,
2024-01-03T00:00:00+00:00,886.44,999.58,-0.04,1,GOLD:long:0.1449@2349.0083,113.46,-0.33,
2024-01-04T00:00:00+00:00,886.44,1002.19,0.22,1,GOLD:long:0.1449@2349.0083,113.46,2.28,
2024-01-05T00:00:00+00:00,886.44,998.29,-0.17,1,GOLD:long:0.1449@2349.0083,113.46,-1.61,
2024-01-08T00:00:00+00:00,886.44,1000.32,0.03,1,GOLD:long:0.1449@2349.0083,113.46,0.42,
2024-01-09T00:00:00+00:00,886.44,1005.39,0.54,1,GOLD:long:0.1449@2349.0083,113.46,5.49,
2024-01-10T00:00:00+00:00,886.44,1003.60,0.36,1,GOLD:long:0.1449@2349.0083,113.46,3.70,
2024-01-11T00:00:00+00:00,894.56,1005.97,0.60,1,GOLD:long:0.2312@2423.5521,112.07,-0.66,
2024-01-12T00:00:00+00:00,894.56,1007.17,0.72,1,GOLD:long:0.2312@2423.5521,112.07,0.54,
2024-01-15T00:00:00+00:00,1016.04,1016.04,1.60,0,No positions,0.00,0.00,
2024-01-16T00:00:00+00:00,1016.04,1016.04,1.60,0,No positions,0.00,0.00,
2024-01-17T00:00:00+00:00,1016.04,1016.04,1.60,0,No positions,0.00,0.00,
2024-01-18T00:00:00+00:00,1016.04,1016.04,1.60,0,No positions,0.00,0.00,
2024-01-19T00:00:00+00:00,943.75,1015.16,1.52,1,GOLD:long:0.1376@2623.8587,72.19,-0.77,
2024-01-22T00:00:00+00:00,943.75,1012.40,1.24,1,GOLD:long:0.1376@2623.8587,72.19,-3.54,
2024-01-23T00:00:00+00:00,943.75,1008.89,0.89,1,GOLD:long:0.1376@2623.8587,72.19,-7.05,
2024-01-24T00:00:00+00:00,1004.93,1004.93,0.49,0,No positions,0.00,0.00,
2024-01-25T00:00:00+00:00,1004.93,1004.93,0.49,0,No positions,0.00,0.00,
2024-01-26T00:00:00+00:00,927.31,1004.05,0.40,1,GOLD:long:0.1481@2617.5376,77.51,-0.78,
2024-01-29T00:00:00+00:00,993.69,993.69,-0.63,0,No positions,0.00,0.00,
2024-01-30T00:00:00+00:00,993.69,993.69,-0.63,0,No positions,0.00,0.00,
2024-01-31T00:00:00+00:00,993.69,993.69,-0.63,0,No positions,0.00,0.00,
2024-02-01T00:00:00+00:00,993.69,993.69,-0.63,0,No positions,0.00,0.00,
2024-02-02T00:00:00+00:00,993.69,993.69,-0.63,0,No positions,0.00,0.00,
2024-02-05T00:00:00+00:00,993.69,993.69,-0.63,0,No positions,0.00,0.00,
2024-02-06T00:00:00+00:00,993.69,993.69,-0.63,0,No positions,0.00,0.00,
2024-02-07T00:00:00+00:00,993.69,993.69,-0.63,0,No positions,0.00,0.00,
2024-02-08T00:00:00+00:00,912.56,992.61,-0.74,1,GOLD:long:0.1733@2337.3523,81.02,-0.97,
2024-02-09T00:00:00+00:00,988.31,988.31,-1.17,0,No positions,0.00,0.00,
2024-02-12T00:00:00+00:00,988.31,988.31,-1.17,0,No positions,0.00,0.00,
2024-02-13T00:00:00+00:00,919.36,987.29,-1.27,1,GOLD:long:0.1296@2656.2381,68.85,-0.92,
2024-02-14T00:00:00+00:00,984.37,984.37,-1.56,0,No positions,0.00,0.00,
