Date,Price,Open,High,Low,Vol.,Change %
01/05/2004,1776.3329831190867,1762.9012012042765,1780.5692813653588,1756.867138348758,11.49K,0.00%
01/06/2004,1773.897825487942,1773.3029688464226,1785.5334448394392,1763.4641141480147,6.34K,-0.14%
01/07/2004,1744.862727815905,1768.5401828721372,1775.0205634530998,1734.701964314068,10.63K,-1.64%
01/08/2004,1750.1732247610762,1739.1130369332416,1759.0159224392728,1739.1130369332416,9.36K,0.30%
01/09/2004,1749.91467395477,1747.623221344925,1758.1995111899437,1744.400377914924,9.86K,-0.01%
01/12/2004,1737.0509641999324,1746.8859544676718,1752.9904469505873,1724.7833729962015,15.75K,-0.74%
01/13/2004,1721.7135075180681,1735.2871365301366,1744.7947948178223,1719.894877204555,0.84K,-0.88%
01/14/2004,1756.4450186571557,1727.2970667468219,1764.453699997814,1726.1540475609677,0.39K,2.02%
01/15/2004,1759.3708541911535,1755.777481319266,1762.0492909587535,1750.9940219000264,0.15K,0.17%
01/16/2004,1762.8786221028324,1759.5044068515786,1772.6777089672655,1746.6316917474983,0.55K,0.20%
01/20/2004,412.5216307265255,406.9378143311064,413.55187435948756,405.57852584233456,52.90K,-76.60%
01/21/2004,410.984727037203,413.04949518602695,413.4847047938387,407.5042652080329,52.72K,-0.37%
01/22/2004,410.03494686210274,410.8406590603516,413.1959850365572,408.4177842818303,64.88K,-0.23%
01/23/2004,407.42176799311596,409.4225988520934,413.1148916570576,405.95214335048655,72.21K,-0.64%
01/26/2004,406.3304805266134,406.9974911031768,410.11972173211456,405.4493740361402,54.96K,-0.27%
01/27/2004,410.38676341017157,405.7950016452875,413.037803218718,402.27405328773506,99.31K,1.00%
01/28/2004,414.79277063933347,410.5974230672709,414.88842373182945,408.18995317986224,76.52K,1.07%
01/29/2004,398.28463216736367,411.5629416137288,412.53884049887864,398.0792427566814,116.45K,-3.98%
01/30/2004,402.80926005540664,400.06295208592854,403.3582407635371,398.8803015417503,50.15K,1.14%
02/02/2004,399.2431967344701,402.3790320536508,403.5108732527634,394.9447435706238,53.27K,-0.89%
02/03/2004,953.9281722119995,952.7677261736173,957.2793717931377,946.9942431012374,124.92K,138.93%
02/04/2004,952.9646391959196,947.2590236564123,954.6005449563822,945.5357294133172,70.92K,-0.10%
02/05/2004,953.8743702430518,949.4116713405538,959.1285056769168,947.3706171836469,101.95K,0.10%
02/06/2004,939.7714893071103,953.0789171749033,958.4524660209652,932.5661444611106,169.54K,-1.48%
02/09/2004,927.2938618517844,936.6152568163592,939.8407132313077,924.3046140229322,129.09K,-1.33%
02/10/2004,937.906294071235,931.6423211643416,938.4462763165092,931.0524073006967,62.13K,1.14%
02/11/2004,955.8104311397119,937.4866834158192,960.6639529033088,934.1617576125743,98.49K,1.91%
02/12/2004,956.6093641813155,954.9360123862615,967.1695531344852,953.9857883471386,95.46K,0.08%
02/13/2004,969.5702385998327,958.1019875274297,972.2599782511681,954.3790028840343,94.66K,1.35%
02/17/2004,965.1124636878254,970.8579675282167,971.7778072825007,961.8030926617872,80.72K,-0.46%
02/18/2004,1672.2896844342663,1708.105039183282,1710.2167958263883,1666.673367149195,237.11K,73.27%
02/19/2004,1683.5295433908564,1674.2903476985382,1691.8226645249065,1671.501961334809,157.56K,0.67%
02/20/2004,1698.3102718867801,1683.5620144557577,1701.7680893134627,1681.8340811590467,156.22K,0.88%
02/23/2004,1710.0660842109971,1699.8059749051317,1715.604454136304,1676.6833003888055,206.57K,0.69%
02/24/2004,1699.1220127316985,1717.763269371054,1720.2411296813368,1695.9116399851437,152.10K,-0.64%
02/25/2004,1694.72011128693,1701.8145835701764,1707.0197380166765,1660.4337528877463,209.91K,-0.26%
02/26/2004,1641.3993474328622,1676.8291783806771,1682.6228874463188,1636.0883224427728,279.27K,-3.15%
02/27/2004,1658.469071870948,1641.574996730626,1666.7272330648816,1634.515570928568,180.72K,1.04%
03/01/2004,1652.8980401773138,1656.9171932881752,1665.4824209777967,1639.099340206209,160.61K,-0.34%
03/02/2004,1667.7654004608478,1656.8483387199801,1668.1880431204224,1651.4732312635551,135.04K,0.90%
03/03/2004,1772.8347393943627,1784.611861974342,1807.004268123545,1768.376328192262,1.75K,6.30%
03/04/2004,1783.0496452670347,1778.4121989204061,1793.4096309804913,1773.8818756412797,1.27K,0.58%
03/05/2004,1762.844287308569,1781.399481146614,1784.0246459752796,1762.844287308569,0.93K,-1.13%
03/08/2004,1785.166585899648,1769.1800071412665,1787.5802904057502,1767.4934098088324,0.84K,1.27%
03/09/2004,1777.928252282141,1787.2265635308568,1787.2265635308568,1775.3473046954362,0.35K,-0.41%
03/10/2004,1784.7142492737767,1777.178413404436,1785.662208295799,1769.1659937402194,0.55K,0.38%
03/11/2004,1784.4867994433914,1784.1654368453223,1790.8940134147076,1780.0311336576099,1.04K,-0.01%
03/12/2004,1772.3751730134118,1782.1858454484927,1785.024835583388,1772.3751730134118,0.31K,-0.68%
03/15/2004,1781.148695245835,1775.5388475403818,1790.5881635274593,1769.4373201755125,0.45K,0.50%
03/16/2004,1788.814330755242,1782.3223535931772,1789.6698930496493,1782.3223535931772,0.36K,0.43%
03/17/2004,1994.4359351857304,2017.6418513360159,2029.9148262602002,1989.7985803565427,,11.49%
03/18/2004,1988.1682129518904,1994.6503228869747,1995.7899122336814,1983.1105473715381,,-0.31%
03/19/2004,2004.758823441996,1996.3126412457575,2009.522471676941,1992.2146573966572,,0.83%
03/22/2004,2013.6414902729937,2005.397329235831,2015.8266244218491,1996.9893816459235,,0.44%
03/23/2004,2016.0107597373706,2010.136679637939,2027.1971333818421,2010.136679637939,,0.12%
03/24/2004,2021.9269898357782,2017.5294187208676,2030.179819920628,2016.072858802143,,0.29%
03/25/2004,2022.8506671527332,2024.2956223369035,2035.8634702555137,2018.5645165757562,,0.05%
03/26/2004,2020.2214507216624,2021.8270550283441,2031.1533911933088,2014.4667644815408,,-0.13%
03/29/2004,2033.5745069526297,2023.4045331264322,2042.4293270098494,2012.0778440845313,,0.66%
03/30/2004,2032.074026104986,2031.632181156659,2034.3591856374758,2023.9240218146492,,-0.07%
03/31/2004,1203.5779316616065,1204.7581659192597,1213.356382535477,1202.5931463172947,142.93K,-40.77%
04/01/2004,1187.7710942410454,1205.6091198598604,1207.0224163241212,1186.2497880283731,244.62K,-1.31%
