system,scenario,trades_per_run,win_rate_pct
Baseline,S0,109.5,39.799855352995856
RMDB,S0,71.5,36.60640023785804
SVM,S0,15.375,19.39875
XGBoost,S0,74.375,45.37125
LLM,S0,52.333333333333336,25.18978749892392
Baseline,S1,105.25,39.50466300875288
RMDB,S1,71.5,36.60640023785804
SVM,S1,15.375,19.75125
XGBoost,S1,73.875,56.8275
LLM,S1,90.0,29.434466644935526
Baseline,S2,104.625,39.44137186951237
RMDB,S2,71.5,36.60640023785804
SVM,S2,15.375,19.575
XGBoost,S2,74.125,53.46875
LLM,S2,48.666666666666664,26.33675692499222
