system,scenario,mean_return,mdd,sharpe,sortino
Baseline,S0,-0.0041,9.2899,-0.2441,-0.3182
Baseline,S1,0.0031,8.1223,0.2064,0.3186
Baseline,S2,0.0006,8.3217,0.0554,0.0965
LLM,S0,-0.0104,9.0144,-1.2221,-1.5092
LLM,S1,0.0008,8.6681,-0.1793,-0.1033
LLM,S2,-0.0056,7.4447,-0.8598,-0.9528
RMDB,S0,-0.0062,9.3168,-0.3952,-0.5219
RMDB,S1,-0.0001,7.8433,0.0283,0.0617
RMDB,S2,-0.0022,8.1889,-0.1176,-0.1481
SVM,S0,-0.0069,3.6268,-0.5521,-0.5433
SVM,S1,-0.0043,2.7566,-0.2991,-0.3291
SVM,S2,-0.0053,3.059,-0.3873,-0.406
XGBoost,S0,-0.0092,7.3827,-0.6988,-0.7598
XGBoost,S1,0.0032,4.5396,0.2045,0.2425
XGBoost,S2,-0.0007,5.329,-0.0993,-0.0808
