system,asset,period,scenario,mean_return,mdd,sharpe,sortino
SVM,AAPL,2008-2009,S0,0.2817,2.9171,1.3257,18.7708
SVM,AAPL,2008-2009,S1,0.288,2.4888,1.3476,19.3004
SVM,AAPL,2008-2009,S2,0.2878,2.4968,1.3471,19.2821
SVM,AAPL,2020-2021,S0,0.0,0.0,0.0,0.0
SVM,AAPL,2020-2021,S1,0.0,0.0,0.0,0.0
SVM,AAPL,2020-2021,S2,0.0,0.0,0.0,0.0
SVM,AAPL,2022-2023,S0,0.0,0.0,0.0,0.0
SVM,AAPL,2022-2023,S1,0.0,0.0,0.0,0.0
SVM,AAPL,2022-2023,S2,0.0,0.0,0.0,0.0
SVM,AAPL,2024-2025,S0,-0.0197,9.4607,-2.3601,-0.7878
SVM,AAPL,2024-2025,S1,-0.0162,7.8447,-2.0452,-0.6291
SVM,AAPL,2024-2025,S2,-0.0163,7.8824,-2.0564,-0.6334
SVM,Gold,2008-2009,S0,0.0119,1.5935,0.557,0.5706
SVM,Gold,2008-2009,S1,0.0125,1.3953,0.5813,0.6013
SVM,Gold,2008-2009,S2,0.0125,1.4108,0.5792,0.5996
SVM,Gold,2020-2021,S0,-0.002,1.1084,-0.6923,-0.0642
SVM,Gold,2020-2021,S1,-0.0018,1.055,-0.6603,-0.0604
SVM,Gold,2020-2021,S2,-0.0019,1.0581,-0.6629,-0.0607
SVM,Gold,2022-2023,S0,0.0,0.0,0.0,0.0
SVM,Gold,2022-2023,S1,0.0,0.0,0.0,0.0
SVM,Gold,2022-2023,S2,0.0,0.0,0.0,0.0
SVM,Gold,2024-2025,S0,0.0,0.0,0.0,0.0
SVM,Gold,2024-2025,S1,0.0,0.0,0.0,0.0
SVM,Gold,2024-2025,S2,0.0,0.0,0.0,0.0
