system,scenario,mean_return,mdd,sharpe,sortino
Baseline,S0,-0.015,14.0295,-1.0119,-1.2507
Baseline,S1,-0.0083,12.2661,-0.5346,-0.6629
Baseline,S2,-0.0101,12.5918,-0.6592,-0.8292
LLM,S0,-0.0153,11.8197,-1.6447,-1.9455
LLM,S1,0.0008,8.6681,-0.1793,-0.1033
LLM,S2,-0.0056,7.4447,-0.8598,-0.9528
RMDB,S0,-0.0136,12.6023,-1.005,-1.2412
RMDB,S1,-0.008,10.753,-0.5571,-0.6964
RMDB,S2,-0.0096,11.1457,-0.6784,-0.8566
SVM,S0,0.0136,2.7559,-0.3492,0.8839
SVM,S1,0.0155,2.1773,-0.1981,1.0362
SVM,S2,0.015,2.3325,-0.2432,0.9962
XGBoost,S0,0.226,3.343,1.2778,21.8924
XGBoost,S1,0.241,2.3696,1.4255,21.9338
XGBoost,S2,0.24,2.4187,1.4128,21.9441
